id,value,severity
src/components/org/apache/jmeter/visualizers/AxisGraph.java,15,3
src/components/org/apache/jmeter/visualizers/backend,,
src/components/org/apache/jmeter/visualizers/backend/AbstractBackendListenerClient.java,5,3
src/components/org/apache/jmeter/visualizers/backend/BackendListener.java,11,3
src/components/org/apache/jmeter/visualizers/backend/BackendListenerContext.java,3,3
src/components/org/apache/jmeter/visualizers/backend/BackendListenerGui.java,6,3
src/components/org/apache/jmeter/visualizers/backend/graphite,,
src/components/org/apache/jmeter/visualizers/backend/graphite/GraphiteBackendListenerClient.java,3,3
src/components/org/apache/jmeter/visualizers/backend/graphite/GraphiteMetricsSender.java,1,2
src/components/org/apache/jmeter/visualizers/backend/graphite/PickleGraphiteMetricsSender.java,4,3
src/components/org/apache/jmeter/visualizers/backend/graphite/SocketOutputStreamPoolFactory.java,1,3
src/components/org/apache/jmeter/visualizers/backend/graphite/TextGraphiteMetricsSender.java,4,3
src/components/org/apache/jmeter/visualizers/backend/influxdb,,
src/components/org/apache/jmeter/visualizers/backend/influxdb/AbstractInfluxdbMetricsSender.java,1,3
src/components/org/apache/jmeter/visualizers/backend/influxdb/HttpMetricsSender.java,7,3
src/components/org/apache/jmeter/visualizers/backend/influxdb/InfluxdbBackendListenerClient.java,5,3
src/components/org/apache/jmeter/visualizers/backend/influxdb/UdpMetricsSender.java,3,3
src/components/org/apache/jmeter/visualizers/backend/UserMetric.java,1,3
src/components/org/apache/jmeter/visualizers/BeanShellListener.java,5,3
src/components/org/apache/jmeter/visualizers/BSFListener.java,5,3
src/components/org/apache/jmeter/visualizers/ComparisonVisualizer.java,2,3
src/components/org/apache/jmeter/visualizers/Graph.java,5,4
src/components/org/apache/jmeter/visualizers/GraphVisualizer.java,2,3
src/components/org/apache/jmeter/visualizers/JSR223Listener.java,4,3
src/components/org/apache/jmeter/visualizers/LineGraph.java,13,3
src/components/org/apache/jmeter/visualizers/MailerVisualizer.java,3,3
src/components/org/apache/jmeter/visualizers/RenderAsBoundaryExtractor.java,1,2
src/components/org/apache/jmeter/visualizers/RenderAsCssJQuery.java,4,3
src/components/org/apache/jmeter/visualizers/RenderAsDocument.java,2,3
src/components/org/apache/jmeter/visualizers/RenderAsHTML.java,8,3
src/components/org/apache/jmeter/visualizers/RenderAsRegexp.java,4,3
src/components/org/apache/jmeter/visualizers/RenderAsXML.java,8,3
src/components/org/apache/jmeter/visualizers/RenderAsXPath.java,5,3
src/components/org/apache/jmeter/visualizers/RenderAsXPath2.java,3,3
src/components/org/apache/jmeter/visualizers/RenderInBrowser.java,2,3
src/components/org/apache/jmeter/visualizers/RequestPanel.java,4,3
src/components/org/apache/jmeter/visualizers/RespTimeGraphChart.java,16,3
src/components/org/apache/jmeter/visualizers/RespTimeGraphVisualizer.java,13,3
src/components/org/apache/jmeter/visualizers/SamplerResultTab.java,12,3
src/components/org/apache/jmeter/visualizers/SearchTextExtension.java,4,3
src/components/org/apache/jmeter/visualizers/SearchTreePanel.java,5,3
src/components/org/apache/jmeter/visualizers/StatGraphProperties.java,1,3
src/components/org/apache/jmeter/visualizers/StatGraphVisualizer.java,21,3
src/components/org/apache/jmeter/visualizers/StatVisualizer.java,3,3
src/components/org/apache/jmeter/visualizers/SummaryReport.java,5,3
src/components/org/apache/jmeter/visualizers/TableVisualizer.java,2,3
src/components/org/apache/jmeter/visualizers/TreeNodeRenderer.java,2,3
src/components/org/apache/jmeter/visualizers/utils,,
src/components/org/apache/jmeter/visualizers/utils/Colors.java,7,3
src/components/org/apache/jmeter/visualizers/ViewResultsFullVisualizer.java,8,3
src/components/org/apache/jmeter/visualizers/XMLDefaultMutableTreeNode.java,3,3
src/core,,
src/core/org,,
src/core/org/apache,,
src/core/org/apache/jmeter,,
src/core/org/apache/jmeter/assertions,,
src/core/org/apache/jmeter/assertions/AssertionResult.java,1,1
src/core/org/apache/jmeter/assertions/CompareAssertionResult.java,1,1
src/core/org/apache/jmeter/config,,
src/core/org/apache/jmeter/config/Argument.java,2,3
src/core/org/apache/jmeter/config/Arguments.java,1,3
src/core/org/apache/jmeter/config/gui,,
src/core/org/apache/jmeter/config/gui/ArgumentsPanel.java,5,3
src/core/org/apache/jmeter/config/gui/ObsoleteGui.java,2,3
src/core/org/apache/jmeter/config/gui/RowDetailDialog.java,5,3
src/core/org/apache/jmeter/config/gui/SimpleConfigGui.java,2,3
src/core/org/apache/jmeter/config/LoginConfig.java,1,1
src/core/org/apache/jmeter/control,,
src/core/org/apache/jmeter/control/GenericController.java,7,3
src/core/org/apache/jmeter/control/gui,,
src/core/org/apache/jmeter/control/gui/LoopControlPanel.java,1,3
src/core/org/apache/jmeter/control/gui/RunTimeGui.java,1,3
src/core/org/apache/jmeter/control/gui/TestPlanGui.java,1,3
src/core/org/apache/jmeter/control/gui/WhileControllerGui.java,1,1
src/core/org/apache/jmeter/control/gui/WorkBenchGui.java,3,3
src/core/org/apache/jmeter/control/IfController.java,11,3
src/core/org/apache/jmeter/control/LoopController.java,1,3
src/core/org/apache/jmeter/control/RunTime.java,1,3
src/core/org/apache/jmeter/control/TransactionController.java,7,3
src/core/org/apache/jmeter/control/TransactionSampler.java,3,3
src/core/org/apache/jmeter/control/WhileController.java,3,3
src/core/org/apache/jmeter/DynamicClassLoader.java,1,2
src/core/org/apache/jmeter/engine,,
src/core/org/apache/jmeter/engine/ClientJMeterEngine.java,9,3
src/core/org/apache/jmeter/engine/ConvertListeners.java,9,3
src/core/org/apache/jmeter/engine/DistributedRunner.java,5,3
src/core/org/apache/jmeter/engine/PreCompiler.java,5,3
src/core/org/apache/jmeter/engine/RemoteJMeterEngine.java,1,3
src/core/org/apache/jmeter/engine/RemoteJMeterEngineImpl.java,8,3
src/core/org/apache/jmeter/engine/StandardJMeterEngine.java,7,3
src/core/org/apache/jmeter/engine/TreeCloner.java,4,3
src/core/org/apache/jmeter/engine/TreeClonerNoTimer.java,2,3
src/core/org/apache/jmeter/engine/TurnElementsOn.java,2,3
src/core/org/apache/jmeter/engine/util,,
src/core/org/apache/jmeter/engine/util/CompoundVariable.java,10,3
src/core/org/apache/jmeter/engine/util/FunctionParser.java,20,3
src/core/org/apache/jmeter/engine/util/ReplaceFunctionsWithStrings.java,3,3
src/core/org/apache/jmeter/engine/util/ValueReplacer.java,3,3
src/core/org/apache/jmeter/exceptions,,
src/core/org/apache/jmeter/exceptions/IllegalUserActionException.java,1,1
src/core/org/apache/jmeter/functions,,
src/core/org/apache/jmeter/functions/AbstractFunction.java,4,2
src/core/org/apache/jmeter/functions/gui,,
src/core/org/apache/jmeter/functions/gui/FunctionHelper.java,9,3
src/core/org/apache/jmeter/gui,,
src/core/org/apache/jmeter/gui/AbstractJMeterGuiComponent.java,4,3
src/core/org/apache/jmeter/gui/action,,
src/core/org/apache/jmeter/gui/action/AboutCommand.java,1,3
src/core/org/apache/jmeter/gui/action/AbstractAction.java,9,3
src/core/org/apache/jmeter/gui/action/ActionNames.java,1,3
src/core/org/apache/jmeter/gui/action/ActionRouter.java,10,3
src/core/org/apache/jmeter/gui/action/AddParent.java,3,3
src/core/org/apache/jmeter/gui/action/AddThinkTimeBetweenEachStep.java,5,3
src/core/org/apache/jmeter/gui/action/AddToTree.java,3,3
src/core/org/apache/jmeter/gui/action/ApplyNamingConvention.java,3,3
src/core/org/apache/jmeter/gui/action/ChangeLanguage.java,4,3
src/core/org/apache/jmeter/gui/action/ChangeParent.java,3,3
src/core/org/apache/jmeter/gui/action/CheckDirty.java,6,3
src/core/org/apache/jmeter/gui/action/Clear.java,4,3
src/core/org/apache/jmeter/gui/action/Close.java,1,3
src/core/org/apache/jmeter/gui/action/CollapseExpand.java,1,3
src/core/org/apache/jmeter/gui/action/CollapseExpandTreeBranch.java,2,3
src/core/org/apache/jmeter/gui/action/Copy.java,5,3
src/core/org/apache/jmeter/gui/action/CreateFunctionDialog.java,1,3
src/core/org/apache/jmeter/gui/action/Cut.java,1,3
src/core/org/apache/jmeter/gui/action/Duplicate.java,2,3
src/core/org/apache/jmeter/gui/action/EditCommand.java,1,3
src/core/org/apache/jmeter/gui/action/EnableComponent.java,3,3
src/core/org/apache/jmeter/gui/action/ExitCommand.java,4,4
src/core/org/apache/jmeter/gui/action/Help.java,5,3
src/core/org/apache/jmeter/gui/action/KeyStrokes.java,49,2
src/core/org/apache/jmeter/gui/action/Load.java,9,3
src/core/org/apache/jmeter/gui/action/LoadDraggedFile.java,1,3
src/core/org/apache/jmeter/gui/action/LoadRecentProject.java,4,3
src/core/org/apache/jmeter/gui/action/LoggerPanelEnableDisable.java,1,3
src/core/org/apache/jmeter/gui/action/LogLevelCommand.java,3,3
src/core/org/apache/jmeter/gui/action/LookAndFeelCommand.java,5,3
src/core/org/apache/jmeter/gui/action/Move.java,2,3
src/core/org/apache/jmeter/gui/action/OpenLinkAction.java,3,3
src/core/org/apache/jmeter/gui/action/Paste.java,3,3
src/core/org/apache/jmeter/gui/action/RemoteStart.java,2,3
src/core/org/apache/jmeter/gui/action/Remove.java,2,3
src/core/org/apache/jmeter/gui/action/ResetSearchCommand.java,1,3
src/core/org/apache/jmeter/gui/action/Restart.java,6,3
src/core/org/apache/jmeter/gui/action/RevertProject.java,1,3
src/core/org/apache/jmeter/gui/action/Save.java,5,3
src/core/org/apache/jmeter/gui/action/SaveBeforeRun.java,1,3
src/core/org/apache/jmeter/gui/action/SaveGraphics.java,2,3
src/core/org/apache/jmeter/gui/action/SearchTreeCommand.java,2,3
src/core/org/apache/jmeter/gui/action/SearchTreeDialog.java,8,3
src/core/org/apache/jmeter/gui/action/SelectTemplatesDialog.java,6,3
src/core/org/apache/jmeter/gui/action/SSLManagerCommand.java,3,3
src/core/org/apache/jmeter/gui/action/Start.java,7,3
src/core/org/apache/jmeter/gui/action/StopStoppables.java,2,3
src/core/org/apache/jmeter/gui/action/template,,
src/core/org/apache/jmeter/gui/action/template/TemplateManager.java,9,3
src/core/org/apache/jmeter/gui/action/TemplatesCommand.java,3,3
src/core/org/apache/jmeter/gui/action/UndoCommand.java,1,3
src/core/org/apache/jmeter/gui/action/validation,,
src/core/org/apache/jmeter/gui/action/validation/TreeClonerForValidation.java,2,3
src/core/org/apache/jmeter/gui/action/What.java,5,3
src/core/org/apache/jmeter/gui/action/ZoomInOut.java,1,3
src/core/org/apache/jmeter/gui/GlobalUndoableEdit.java,3,3
src/core/org/apache/jmeter/gui/GUIFactory.java,3,3
src/core/org/apache/jmeter/gui/GuiPackage.java,11,3
src/core/org/apache/jmeter/gui/JMeterFileFilter.java,1,1
src/core/org/apache/jmeter/gui/LoggerPanel.java,1,3
src/core/org/apache/jmeter/gui/logging,,
src/core/org/apache/jmeter/gui/logging/GuiLogEventAppender.java,1,3
src/core/org/apache/jmeter/gui/logging/LogEventObject.java,1,3
src/core/org/apache/jmeter/gui/NamePanel.java,3,3
src/core/org/apache/jmeter/gui/OnErrorPanel.java,2,3
src/core/org/apache/jmeter/gui/Replaceable.java,1,3
src/core/org/apache/jmeter/gui/SavePropertyDialog.java,6,3
src/core/org/apache/jmeter/gui/Searchable.java,1,3
src/core/org/apache/jmeter/gui/ServerPanel.java,1,3
src/core/org/apache/jmeter/gui/tree,,
src/core/org/apache/jmeter/gui/tree/JMeterCellRenderer.java,1,3
src/core/org/apache/jmeter/gui/tree/JMeterTreeListener.java,8,3
src/core/org/apache/jmeter/gui/tree/JMeterTreeModel.java,6,3
src/core/org/apache/jmeter/gui/tree/JMeterTreeNode.java,7,3
src/core/org/apache/jmeter/gui/tree/JMeterTreeTransferHandler.java,6,3
src/core/org/apache/jmeter/gui/TreeState.java,6,3
src/core/org/apache/jmeter/gui/UndoHistoryItem.java,4,3
src/core/org/apache/jmeter/gui/util,,
src/core/org/apache/jmeter/gui/util/EscapeDialog.java,1,3
src/core/org/apache/jmeter/gui/util/FileDialoger.java,3,3
src/core/org/apache/jmeter/gui/util/FileListPanel.java,2,3
src/core/org/apache/jmeter/gui/util/FilePanel.java,1,2
src/core/org/apache/jmeter/gui/util/FocusRequester.java,1,3
src/core/org/apache/jmeter/gui/util/HeaderAsPropertyRenderer.java,3,3
src/core/org/apache/jmeter/gui/util/HeaderAsPropertyRendererWrapper.java,4,3
src/core/org/apache/jmeter/gui/util/IconToolbarBean.java,3,3
src/core/org/apache/jmeter/gui/util/JDateField.java,5,3
src/core/org/apache/jmeter/gui/util/JLabeledRadioI18N.java,4,3
src/core/org/apache/jmeter/gui/util/JMeterColor.java,1,3
src/core/org/apache/jmeter/gui/util/JMeterMenuBar.java,13,3
src/core/org/apache/jmeter/gui/util/JMeterToolBar.java,13,3
src/core/org/apache/jmeter/gui/util/JSyntaxTextArea.java,23,3
src/core/org/apache/jmeter/gui/util/JTextScrollPane.java,6,3
src/core/org/apache/jmeter/gui/util/MenuFactory.java,10,3
src/core/org/apache/jmeter/gui/util/MenuInfo.java,1,3
src/core/org/apache/jmeter/gui/util/NumberFieldErrorListener.java,1,3
src/core/org/apache/jmeter/gui/util/PowerTableModel.java,26,3
src/core/org/apache/jmeter/gui/util/TextAreaCellRenderer.java,1,1
src/core/org/apache/jmeter/gui/util/TextAreaTableCellEditor.java,6,3
src/core/org/apache/jmeter/gui/util/TristateCheckBox.java,8,3
src/core/org/apache/jmeter/JMeter.java,34,4
src/core/org/apache/jmeter/NewDriver.java,9,3
src/core/org/apache/jmeter/plugin,,
src/core/org/apache/jmeter/plugin/PluginManager.java,4,3
src/core/org/apache/jmeter/report,,
src/core/org/apache/jmeter/report/config,,
src/core/org/apache/jmeter/report/config/ConfigurationUtils.java,2,3
src/core/org/apache/jmeter/report/config/ExporterConfiguration.java,1,3
src/core/org/apache/jmeter/report/config/ReportGeneratorConfiguration.java,6,3
src/core/org/apache/jmeter/report/config/SubConfiguration.java,2,3
src/core/org/apache/jmeter/report/core,,
src/core/org/apache/jmeter/report/core/AbstractSampleWriter.java,1,3
src/core/org/apache/jmeter/report/core/ConvertException.java,1,1
src/core/org/apache/jmeter/report/core/CsvFile.java,1,1
src/core/org/apache/jmeter/report/core/CsvSampleReader.java,3,3
src/core/org/apache/jmeter/report/core/JsonUtil.java,1,3
src/core/org/apache/jmeter/report/core/SampleMetadata.java,3,3
src/core/org/apache/jmeter/report/core/SampleSelector.java,1,3
src/core/org/apache/jmeter/report/core/SampleWriter.java,2,2
src/core/org/apache/jmeter/report/core/StringConverter.java,1,3
src/core/org/apache/jmeter/report/core/TimeHelper.java,4,3
src/core/org/apache/jmeter/report/dashboard,,
src/core/org/apache/jmeter/report/dashboard/AbstractDataExporter.java,2,3
src/core/org/apache/jmeter/report/dashboard/HtmlTemplateExporter.java,13,3
src/core/org/apache/jmeter/report/dashboard/JsonizerVisitor.java,1,3
src/core/org/apache/jmeter/report/dashboard/ReportGenerator.java,5,3
src/core/org/apache/jmeter/report/dashboard/TemplateVisitor.java,1,3
src/core/org/apache/jmeter/report/processor,,
src/core/org/apache/jmeter/report/processor/AbstractSampleConsumer.java,2,3
src/core/org/apache/jmeter/report/processor/AbstractSampleProcessor.java,1,3
src/core/org/apache/jmeter/report/processor/AbstractSummaryConsumer.java,3,3
src/core/org/apache/jmeter/report/processor/AggregateConsumer.java,1,2
src/core/org/apache/jmeter/report/processor/ApdexSummaryConsumer.java,1,2
src/core/org/apache/jmeter/report/processor/ApdexSummaryData.java,1,2
src/core/org/apache/jmeter/report/processor/CsvFileSampleSource.java,2,3
src/core/org/apache/jmeter/report/processor/ExternalSampleSorter.java,8,3
src/core/org/apache/jmeter/report/processor/FilterConsumer.java,1,3
src/core/org/apache/jmeter/report/processor/graph,,
src/core/org/apache/jmeter/report/processor/graph/AbstractGraphConsumer.java,10,3
src/core/org/apache/jmeter/report/processor/graph/AbstractOverTimeGraphConsumer.java,1,2
src/core/org/apache/jmeter/report/processor/graph/AbstractVersusRequestsGraphConsumer.java,6,3
src/core/org/apache/jmeter/report/processor/graph/GroupData.java,3,3
src/core/org/apache/jmeter/report/processor/graph/GroupInfo.java,1,2
src/core/org/apache/jmeter/report/processor/graph/impl,,
src/core/org/apache/jmeter/report/processor/graph/impl/ActiveThreadsGraphConsumer.java,1,3
src/core/org/apache/jmeter/report/processor/graph/impl/BytesThroughputGraphConsumer.java,2,3
src/core/org/apache/jmeter/report/processor/graph/impl/CodesPerSecondGraphConsumer.java,2,3
src/core/org/apache/jmeter/report/processor/graph/impl/ConnectTimeOverTimeGraphConsumer.java,1,3
src/core/org/apache/jmeter/report/processor/graph/impl/CustomGraphConsumer.java,2,3
src/core/org/apache/jmeter/report/processor/graph/impl/HitsPerSecondGraphConsumer.java,3,3
src/core/org/apache/jmeter/report/processor/graph/impl/LatencyOverTimeGraphConsumer.java,1,3
src/core/org/apache/jmeter/report/processor/graph/impl/LatencyVSRequestGraphConsumer.java,1,3
src/core/org/apache/jmeter/report/processor/graph/impl/ResponseCustomGraphGraphConsumer.java,2,3
src/core/org/apache/jmeter/report/processor/graph/impl/ResponseTimeDistributionGraphConsumer.java,1,3
src/core/org/apache/jmeter/report/processor/graph/impl/ResponseTimeOverTimeGraphConsumer.java,2,3
src/core/org/apache/jmeter/report/processor/graph/impl/ResponseTimePercentilesGraphConsumer.java,1,3
src/core/org/apache/jmeter/report/processor/graph/impl/ResponseTimePercentilesOverTimeGraphConsumer.java,1,3
src/core/org/apache/jmeter/report/processor/graph/impl/ResponseTimePerSampleGraphConsumer.java,1,3
src/core/org/apache/jmeter/report/processor/graph/impl/ResponseTimeVSRequestGraphConsumer.java,1,3
src/core/org/apache/jmeter/report/processor/graph/impl/TimeVSThreadGraphConsumer.java,1,3
src/core/org/apache/jmeter/report/processor/graph/impl/TotalTPSGraphConsumer.java,1,2
src/core/org/apache/jmeter/report/processor/graph/IndexedNameSelector.java,1,3
src/core/org/apache/jmeter/report/processor/graph/SeriesData.java,2,3
src/core/org/apache/jmeter/report/processor/NormalizerSampleConsumer.java,2,3
src/core/org/apache/jmeter/report/processor/SampleIndexer.java,1,3
src/core/org/apache/jmeter/report/processor/StatisticsSummaryConsumer.java,1,2
src/core/org/apache/jmeter/report/processor/StatisticsSummaryData.java,1,2
src/core/org/apache/jmeter/report/processor/TaggerConsumer.java,3,3
src/core/org/apache/jmeter/report/processor/Top5ErrorsBySamplerConsumer.java,1,3
src/core/org/apache/jmeter/reporters,,
src/core/org/apache/jmeter/reporters/AbstractListenerElement.java,1,1
src/core/org/apache/jmeter/reporters/gui,,
src/core/org/apache/jmeter/reporters/gui/ResultSaverGui.java,1,3
src/core/org/apache/jmeter/reporters/gui/SummariserGui.java,1,2
src/core/org/apache/jmeter/reporters/ResultAction.java,2,3
src/core/org/apache/jmeter/reporters/ResultCollector.java,19,3
src/core/org/apache/jmeter/reporters/ResultSaver.java,5,3
src/core/org/apache/jmeter/reporters/Summariser.java,5,3
src/core/org/apache/jmeter/reporters/SummariserRunningSample.java,1,2
src/core/org/apache/jmeter/rmi,,
src/core/org/apache/jmeter/rmi/RMIServerSocketFactoryImpl.java,1,3
src/core/org/apache/jmeter/rmi/RmiUtils.java,2,3
src/core/org/apache/jmeter/rmi/SSLRMIClientSocketFactory.java,1,3
src/core/org/apache/jmeter/rmi/SSLRMIServerSocketFactory.java,2,3
src/core/org/apache/jmeter/samplers,,
src/core/org/apache/jmeter/samplers/AbstractSampleSender.java,1,2
src/core/org/apache/jmeter/samplers/AsynchSampleSender.java,9,3
