id,debt,severity
13,15,BLOCKER
13,20,BLOCKER
13,20,BLOCKER
13,20,BLOCKER
13,20,BLOCKER
13,20,BLOCKER
13,20,BLOCKER
13,20,BLOCKER
13,20,BLOCKER
13,20,BLOCKER
13,20,BLOCKER
13,20,BLOCKER
13,20,BLOCKER
13,20,BLOCKER
13,20,BLOCKER
13,15,BLOCKER
13,15,BLOCKER
13,15,BLOCKER
14,20,BLOCKER
14,20,BLOCKER
14,20,BLOCKER
14,20,BLOCKER
14,20,BLOCKER
14,20,BLOCKER
14,20,BLOCKER
14,20,BLOCKER
14,20,BLOCKER
14,30,BLOCKER
14,20,BLOCKER
14,20,BLOCKER
14,20,BLOCKER
14,20,BLOCKER
14,20,BLOCKER
14,5,BLOCKER
14,15,BLOCKER
14,15,BLOCKER
14,15,BLOCKER
15,20,BLOCKER
15,20,BLOCKER
15,20,BLOCKER
15,20,BLOCKER
15,20,BLOCKER
15,20,BLOCKER
15,20,BLOCKER
15,20,BLOCKER
15,20,BLOCKER
15,30,BLOCKER
15,20,BLOCKER
15,20,BLOCKER
15,20,BLOCKER
15,20,BLOCKER
15,20,BLOCKER
15,5,BLOCKER
15,15,BLOCKER
15,15,BLOCKER
15,15,BLOCKER
16,20,BLOCKER
16,20,BLOCKER
16,20,BLOCKER
16,20,BLOCKER
16,20,BLOCKER
16,20,BLOCKER
16,20,BLOCKER
16,20,BLOCKER
16,20,BLOCKER
16,20,BLOCKER
16,20,BLOCKER
16,20,BLOCKER
16,20,BLOCKER
16,20,BLOCKER
16,5,BLOCKER
16,15,BLOCKER
16,15,BLOCKER
16,15,BLOCKER
17,20,BLOCKER
17,20,BLOCKER
17,20,BLOCKER
17,20,BLOCKER
17,20,BLOCKER
17,20,BLOCKER
17,20,BLOCKER
17,20,BLOCKER
17,20,BLOCKER
17,20,BLOCKER
17,20,BLOCKER
17,20,BLOCKER
17,20,BLOCKER
17,20,BLOCKER
17,5,BLOCKER
17,15,BLOCKER
17,15,BLOCKER
17,15,BLOCKER
18,20,BLOCKER
18,20,BLOCKER
18,20,BLOCKER
18,20,BLOCKER
18,20,BLOCKER
18,20,BLOCKER
18,20,BLOCKER
18,20,BLOCKER
18,20,BLOCKER
18,20,BLOCKER
18,20,BLOCKER
18,20,BLOCKER
18,20,BLOCKER
18,20,BLOCKER
18,5,BLOCKER
18,15,BLOCKER
18,15,BLOCKER
18,15,BLOCKER
19,20,BLOCKER
19,20,BLOCKER
19,20,BLOCKER
19,20,BLOCKER
19,20,BLOCKER
19,20,BLOCKER
19,20,BLOCKER
19,20,BLOCKER
19,20,BLOCKER
19,20,BLOCKER
19,20,BLOCKER
19,20,BLOCKER
19,20,BLOCKER
19,20,BLOCKER
19,5,BLOCKER
19,15,BLOCKER
19,15,BLOCKER
19,15,BLOCKER
20,5,BLOCKER
20,15,BLOCKER
20,15,BLOCKER
20,15,BLOCKER
21,5,BLOCKER
21,15,BLOCKER
21,15,BLOCKER
21,15,BLOCKER
22,15,BLOCKER
22,15,BLOCKER
22,15,BLOCKER
23,15,BLOCKER
23,15,BLOCKER
23,15,BLOCKER
